FinanceKey;Date;OrganizationKey;DepartmentGroupKey;AccountKey;Scenario;Amount
1;29/12/2010;8;6;52;Actual;2102,64
2;29/12/2010;8;6;53;Actual;4205,7
3;29/12/2010;8;6;56;Actual;73593,36
4;29/12/2010;8;6;57;Actual;8761,85
5;29/12/2010;8;6;60;Actual;24000,01
6;29/12/2010;8;6;61;Actual;2401,13
7;29/12/2010;8;6;62;Actual;1201,1
8;29/12/2010;8;6;63;Actual;8411,84
9;29/12/2010;8;6;65;Actual;243,51
10;29/12/2010;8;6;66;Actual;220,78
11;29/12/2010;8;6;67;Actual;122,3
12;29/12/2010;8;6;68;Actual;91,99
13;29/12/2010;8;6;69;Actual;25,32
14;29/12/2010;8;6;71;Actual;49,57
15;29/12/2010;8;6;72;Actual;420,79
16;29/12/2010;8;6;73;Actual;198,05
17;29/12/2010;8;6;74;Actual;214,72
18;29/12/2010;8;6;76;Actual;1787,48
19;29/12/2010;8;6;77;Actual;492
20;29/12/2010;8;6;78;Actual;163,21
21;29/12/2010;8;6;80;Actual;598,06
22;29/12/2010;8;6;81;Actual;370,79
23;29/12/2010;8;6;82;Actual;37,45
24;29/12/2010;8;6;83;Actual;126,84
25;29/12/2010;8;6;84;Actual;107,14
26;29/12/2010;8;6;85;Actual;101,08
27;29/12/2010;8;6;87;Actual;546,55
28;29/12/2010;8;6;89;Actual;104,11
29;29/12/2010;8;6;90;Actual;160,18
30;29/12/2010;8;6;91;Actual;-126,19
31;29/12/2010;8;6;92;Actual;213,21
32;29/12/2010;8;6;94;Actual;17008,97
33;29/12/2010;8;6;51;Actual;210286,82
34;29/12/2010;7;6;52;Actual;782
35;29/12/2010;7;6;53;Actual;782
36;29/12/2010;7;6;56;Actual;28863
37;29/12/2010;7;6;57;Actual;2607
38;29/12/2010;7;6;60;Actual;28840
39;29/12/2010;7;6;61;Actual;3172
40;29/12/2010;7;6;62;Actual;2307
41;29/12/2010;7;6;63;Actual;2347
42;29/12/2010;7;6;65;Actual;469
43;29/12/2010;7;6;66;Actual;426
44;29/12/2010;7;6;67;Actual;217
45;29/12/2010;7;6;68;Actual;161
46;29/12/2010;7;6;69;Actual;47
47;29/12/2010;7;6;71;Actual;49
48;29/12/2010;7;6;72;Actual;156
49;29/12/2010;7;6;73;Actual;300
50;29/12/2010;7;6;74;Actual;217
51;29/12/2010;7;6;76;Actual;985
52;29/12/2010;7;6;77;Actual;636
53;29/12/2010;7;6;78;Actual;179
54;29/12/2010;7;6;80;Actual;676
55;29/12/2010;7;6;81;Actual;418
56;29/12/2010;7;6;82;Actual;41
57;29/12/2010;7;6;83;Actual;143
58;29/12/2010;7;6;84;Actual;119
59;29/12/2010;7;6;85;Actual;114
60;29/12/2010;7;6;87;Actual;630
61;29/12/2010;7;6;89;Actual;116
62;29/12/2010;7;6;90;Actual;178
63;29/12/2010;7;6;91;Actual;-142
64;29/12/2010;7;6;92;Actual;238
65;29/12/2010;7;6;94;Actual;6349
66;29/12/2010;7;6;51;Actual;78234
67;29/12/2010;3;6;52;Actual;3059
68;29/12/2010;3;6;53;Actual;2294
69;29/12/2010;3;6;56;Actual;33968
70;29/12/2010;3;6;57;Actual;3186
71;29/12/2010;3;6;60;Actual;16320
72;29/12/2010;3;6;61;Actual;1632
73;29/12/2010;3;6;62;Actual;979
74;29/12/2010;3;6;63;Actual;1912
75;29/12/2010;3;6;65;Actual;220
76;29/12/2010;3;6;66;Actual;200
77;29/12/2010;3;6;67;Actual;104
78;29/12/2010;3;6;68;Actual;76
79;29/12/2010;3;6;69;Actual;22
80;29/12/2010;3;6;71;Actual;32
81;29/12/2010;3;6;72;Actual;153
82;29/12/2010;3;6;73;Actual;151
83;29/12/2010;3;6;74;Actual;96
84;29/12/2010;3;6;76;Actual;486
85;29/12/2010;3;6;77;Actual;346
86;29/12/2010;3;6;78;Actual;113
87;29/12/2010;3;6;80;Actual;449
88;29/12/2010;3;6;81;Actual;278
89;29/12/2010;3;6;82;Actual;29
90;29/12/2010;3;6;83;Actual;102
91;29/12/2010;3;6;84;Actual;92
92;29/12/2010;3;6;85;Actual;82
93;29/12/2010;3;6;87;Actual;360
94;29/12/2010;3;6;89;Actual;179
95;29/12/2010;3;6;90;Actual;276
96;29/12/2010;3;6;91;Actual;-221
97;29/12/2010;3;6;92;Actual;368
98;29/12/2010;3;6;94;Actual;3642
99;29/12/2010;3;6;51;Actual;76475
100;29/12/2010;5;6;52;Actual;1683
101;29/12/2010;5;6;53;Actual;-561
102;29/12/2010;5;6;56;Actual;21575
103;29/12/2010;5;6;57;Actual;467
104;29/12/2010;5;6;60;Actual;25480
105;29/12/2010;5;6;61;Actual;2038
106;29/12/2010;5;6;62;Actual;2293
107;29/12/2010;5;6;63;Actual;2244
108;29/12/2010;5;6;65;Actual;553
109;29/12/2010;5;6;66;Actual;503
110;29/12/2010;5;6;67;Actual;252
111;29/12/2010;5;6;68;Actual;189
112;29/12/2010;5;6;69;Actual;55
113;29/12/2010;5;6;71;Actual;49
114;29/12/2010;5;6;72;Actual;168
115;29/12/2010;5;6;73;Actual;336
116;29/12/2010;5;6;74;Actual;248
117;29/12/2010;5;6;76;Actual;846
118;29/12/2010;5;6;77;Actual;667
119;29/12/2010;5;6;78;Actual;178
120;29/12/2010;5;6;80;Actual;668
121;29/12/2010;5;6;81;Actual;414
122;29/12/2010;5;6;82;Actual;40
123;29/12/2010;5;6;83;Actual;140
124;29/12/2010;5;6;84;Actual;116
125;29/12/2010;5;6;85;Actual;112
126;29/12/2010;5;6;87;Actual;630
127;29/12/2010;5;6;89;Actual;113
128;29/12/2010;5;6;90;Actual;174
129;29/12/2010;5;6;91;Actual;-139
130;29/12/2010;5;6;92;Actual;232
131;29/12/2010;5;6;94;Actual;4254
132;29/12/2010;5;6;51;Actual;56105
133;29/12/2010;4;6;52;Actual;4505
134;29/12/2010;4;6;53;Actual;-1126
135;29/12/2010;4;6;56;Actual;42417
136;29/12/2010;4;6;57;Actual;938
137;29/12/2010;4;6;60;Actual;26040
138;29/12/2010;4;6;61;Actual;2083
139;29/12/2010;4;6;62;Actual;1562
140;29/12/2010;4;6;63;Actual;3379
141;29/12/2010;4;6;65;Actual;378
142;29/12/2010;4;6;66;Actual;343
143;29/12/2010;4;6;67;Actual;182
144;29/12/2010;4;6;68;Actual;133
145;29/12/2010;4;6;69;Actual;38
146;29/12/2010;4;6;71;Actual;63
147;29/12/2010;4;6;72;Actual;225
148;29/12/2010;4;6;73;Actual;263
149;29/12/2010;4;6;74;Actual;187
150;29/12/2010;4;6;76;Actual;1201
151;29/12/2010;4;6;77;Actual;604
152;29/12/2010;4;6;78;Actual;193
153;29/12/2010;4;6;80;Actual;749
154;29/12/2010;4;6;81;Actual;464
155;29/12/2010;4;6;82;Actual;47
156;29/12/2010;4;6;83;Actual;165
157;29/12/2010;4;6;84;Actual;145
158;29/12/2010;4;6;85;Actual;132
159;29/12/2010;4;6;87;Actual;630
160;29/12/2010;4;6;89;Actual;142
161;29/12/2010;4;6;90;Actual;218
162;29/12/2010;4;6;91;Actual;-174
163;29/12/2010;4;6;92;Actual;291
164;29/12/2010;4;6;94;Actual;3303
165;29/12/2010;4;6;51;Actual;112648
166;29/12/2010;6;6;52;Actual;8772
167;29/12/2010;6;6;53;Actual;3759
168;29/12/2010;6;6;56;Actual;47208
169;29/12/2010;6;6;57;Actual;4177
170;29/12/2010;6;6;60;Actual;17108
171;29/12/2010;6;6;61;Actual;1539
172;29/12/2010;6;6;62;Actual;1368
173;29/12/2010;6;6;63;Actual;2443
174;29/12/2010;6;6;65;Actual;314
175;29/12/2010;6;6;66;Actual;285
176;29/12/2010;6;6;67;Actual;146
177;29/12/2010;6;6;68;Actual;109
178;29/12/2010;6;6;69;Actual;31
179;29/12/2010;6;6;71;Actual;36
180;29/12/2010;6;6;72;Actual;244
181;29/12/2010;6;6;73;Actual;201
182;29/12/2010;6;6;74;Actual;145
183;29/12/2010;6;6;76;Actual;896
184;29/12/2010;6;6;77;Actual;417
185;29/12/2010;6;6;78;Actual;126
186;29/12/2010;6;6;80;Actual;487
187;29/12/2010;6;6;81;Actual;302
188;29/12/2010;6;6;82;Actual;31
189;29/12/2010;6;6;83;Actual;107
190;29/12/2010;6;6;84;Actual;94
191;29/12/2010;6;6;85;Actual;86
192;29/12/2010;6;6;87;Actual;410
193;29/12/2010;6;6;89;Actual;142
194;29/12/2010;6;6;90;Actual;218
195;29/12/2010;6;6;91;Actual;-174
196;29/12/2010;6;6;92;Actual;291
197;29/12/2010;6;6;94;Actual;3350
198;29/12/2010;6;6;51;Actual;125316
199;29/12/2010;6;6;52;Budget;9992,56
200;29/12/2010;6;6;53;Budget;4923,53
201;29/12/2010;6;6;56;Budget;63267,67
202;29/12/2010;6;6;57;Budget;5109,49
203;29/12/2010;6;6;60;Budget;16830,56
204;29/12/2010;6;6;61;Budget;982,37
205;29/12/2010;6;6;62;Budget;2056,48
206;29/12/2010;6;6;63;Budget;3206,01
207;29/12/2010;6;6;65;Budget;312,87
208;29/12/2010;6;6;66;Budget;264,11
209;29/12/2010;6;6;67;Budget;165,1
210;29/12/2010;6;6;68;Budget;142,54
211;29/12/2010;6;6;69;Budget;24,96
212;29/12/2010;6;6;71;Budget;44,33
213;29/12/2010;6;6;72;Budget;360,22
214;29/12/2010;6;6;73;Budget;166,77
215;29/12/2010;6;6;74;Budget;168,46
216;29/12/2010;6;6;76;Budget;703,6
217;29/12/2010;6;6;77;Budget;351,83
218;29/12/2010;6;6;78;Budget;130,6
219;29/12/2010;6;6;80;Budget;465,91
220;29/12/2010;6;6;81;Budget;371,76
221;29/12/2010;6;6;82;Budget;18,59
222;29/12/2010;6;6;83;Budget;63,54
223;29/12/2010;6;6;84;Budget;133,13
224;29/12/2010;6;6;85;Budget;93,95
225;29/12/2010;6;6;87;Budget;419,29
226;29/12/2010;6;6;89;Budget;202,32
227;29/12/2010;6;6;90;Budget;280,16
228;29/12/2010;6;6;91;Budget;-159,01
229;29/12/2010;6;6;92;Budget;219,5
230;29/12/2010;6;6;94;Budget;2967,12
231;29/12/2010;6;6;51;Budget;183746,25
232;29/12/2010;4;6;52;Budget;6554,07
233;29/12/2010;4;6;53;Budget;-1092,25
234;29/12/2010;4;6;56;Budget;39398,75
235;29/12/2010;4;6;57;Budget;1111,48
236;29/12/2010;4;6;60;Budget;17822,19
237;29/12/2010;4;6;61;Budget;1732,47
238;29/12/2010;4;6;62;Budget;1424,57
239;29/12/2010;4;6;63;Budget;4625,07
240;29/12/2010;4;6;65;Budget;569,83
241;29/12/2010;4;6;66;Budget;456,64
242;29/12/2010;4;6;67;Budget;131,44
243;29/12/2010;4;6;68;Budget;103,02
244;29/12/2010;4;6;69;Budget;51,61
245;29/12/2010;4;6;71;Budget;71,45
246;29/12/2010;4;6;72;Budget;328,13
247;29/12/2010;4;6;73;Budget;155,71
248;29/12/2010;4;6;74;Budget;106,52
249;29/12/2010;4;6;76;Budget;1649,55
250;29/12/2010;4;6;77;Budget;412,86
251;29/12/2010;4;6;78;Budget;125,12
252;29/12/2010;4;6;80;Budget;457,65
253;29/12/2010;4;6;81;Budget;254,35
254;29/12/2010;4;6;82;Budget;29,31
255;29/12/2010;4;6;83;Budget;220,51
256;29/12/2010;4;6;84;Budget;168,49
257;29/12/2010;4;6;85;Budget;131,47
258;29/12/2010;4;6;87;Budget;855,19
259;29/12/2010;4;6;89;Budget;185,86
260;29/12/2010;4;6;90;Budget;141,32
261;29/12/2010;4;6;91;Budget;-162,65
262;29/12/2010;4;6;92;Budget;303,28
263;29/12/2010;4;6;94;Budget;3046,26
264;29/12/2010;4;6;51;Budget;114011,71
265;29/12/2010;5;6;52;Budget;2169,04
266;29/12/2010;5;6;53;Budget;-338,2
267;29/12/2010;5;6;56;Budget;19497,08
268;29/12/2010;5;6;57;Budget;314,3
269;29/12/2010;5;6;60;Budget;32674,75
270;29/12/2010;5;6;61;Budget;2077,37
271;29/12/2010;5;6;62;Budget;2802,23
272;29/12/2010;5;6;63;Budget;3159,54
273;29/12/2010;5;6;65;Budget;390,66
274;29/12/2010;5;6;66;Budget;702,59
275;29/12/2010;5;6;67;Budget;294,63
276;29/12/2010;5;6;68;Budget;194,07
277;29/12/2010;5;6;69;Budget;55,37
278;29/12/2010;5;6;71;Budget;58,47
279;29/12/2010;5;6;72;Budget;216,94
280;29/12/2010;5;6;73;Budget;412
281;29/12/2010;5;6;74;Budget;196,53
282;29/12/2010;5;6;76;Budget;567,09
283;29/12/2010;5;6;77;Budget;465,67
