SalesDetailsKey;SalesHeaderKey;SalesOrderNumber;ProductKey;ProductSubcategoryKey;OrderQuantity;UnitPrice;ExtendedAmount
8882;2768;SO46621;323;17;2;469,794;939,588
9243;1164;SO46639;323;17;2;469,794;939,588
9295;198;SO46642;323;17;2;469,794;939,588
9514;1746;SO46650;323;17;2;469,794;939,588
9576;2102;SO46654;323;17;2;469,794;939,588
9807;424;SO46663;323;17;2;469,794;939,588
11006;615;SO46970;323;17;2;469,794;939,588
12025;1131;SO47013;323;17;2;469,794;939,588
12078;215;SO47018;323;17;2;469,794;939,588
12939;25;SO47056;323;17;2;469,794;939,588
13106;1738;SO47066;323;17;2;469,794;939,588
13130;2257;SO47067;323;17;2;469,794;939,588
13239;912;SO47354;323;17;2;469,794;939,588
13839;988;SO47383;323;17;2;469,794;939,588
14124;771;SO47398;323;17;2;469,794;939,588
14970;1663;SO47444;323;17;2;469,794;939,588
15335;596;SO47658;323;17;2;469,794;939,588
15985;879;SO47690;323;17;2;469,794;939,588
16131;1722;SO47699;323;17;2;469,794;939,588
16194;2030;SO47703;323;17;2;469,794;939,588
16208;3269;SO47705;323;17;2;469,794;939,588
16350;2590;SO47714;323;17;2;469,794;939,588
17076;172;SO47984;323;17;2;469,794;939,588
17338;582;SO47994;323;17;2;469,794;939,588
17847;2015;SO48020;323;17;2;469,794;939,588
18102;3424;SO48035;323;17;2;469,794;939,588
18939;410;SO48080;323;17;2;469,794;939,588
19017;1786;SO48087;323;17;2;469,794;939,588
19070;2188;SO48090;323;17;2;469,794;939,588
19223;1066;SO48296;323;17;2;469,794;939,588
19621;1139;SO48323;323;17;2;469,794;939,588
19832;1034;SO48338;323;17;2;469,794;939,588
20424;497;SO48378;323;17;2;469,794;939,588
20535;1897;SO48385;323;17;2;469,794;939,588
20561;3457;SO48386;323;17;2;469,794;939,588
21438;99;SO48769;323;17;2;469,794;939,588
21560;161;SO48775;323;17;2;469,794;939,588
21683;2464;SO48786;323;17;2;469,794;939,588
21770;2660;SO48791;323;17;2;469,794;939,588
21835;1396;SO49045;323;17;2;469,794;939,588
21947;371;SO49058;323;17;2;469,794;939,588
22075;838;SO49066;323;17;2;469,794;939,588
22111;943;SO49069;323;17;2;469,794;939,588
22269;287;SO49086;323;17;2;469,794;939,588
22408;817;SO49094;323;17;2;469,794;939,588
22611;487;SO49109;323;17;2;469,794;939,588
22619;652;SO49111;323;17;2;469,794;939,588
22871;3329;SO49126;323;17;2;469,794;939,588
23024;686;SO49137;323;17;2;469,794;939,588
23124;2485;SO49147;323;17;2;469,794;939,588
23383;3504;SO49165;323;17;2;469,794;939,588
23470;637;SO49445;323;17;2;469,794;939,588
23576;2594;SO49465;323;17;2;469,794;939,588
24213;3313;SO49504;323;17;2;469,794;939,588
24357;1410;SO49517;323;17;2;469,794;939,588
25787;2234;SO49878;323;17;2;469,794;939,588
25908;2967;SO49888;323;17;2;469,794;939,588
26062;3483;SO49892;323;17;2;469,794;939,588
26246;1226;SO50200;323;17;2;469,794;939,588
26322;1046;SO50204;323;17;2;469,794;939,588
26420;327;SO50208;323;17;2;469,794;939,588
26946;2037;SO50231;323;17;2;469,794;939,588
27003;2978;SO50235;323;17;2;469,794;939,588
27127;1141;SO50242;323;17;2;469,794;939,588
27170;3412;SO50244;323;17;2;469,794;939,588
27565;145;SO50272;323;17;2;469,794;939,588
28197;2916;SO50311;323;17;2;469,794;939,588
28271;181;SO50313;323;17;2;469,794;939,588
29227;2584;SO50696;323;17;2;469,794;939,588
29766;3106;SO50733;323;17;2;469,794;939,588
8883;2768;SO46621;343;17;2;469,794;939,588
10513;2856;SO46948;343;17;2;469,794;939,588
10718;967;SO46959;343;17;2;469,794;939,588
11488;120;SO46992;343;17;2;469,794;939,588
11612;2235;SO46995;343;17;2;469,794;939,588
11643;2276;SO46996;343;17;2;469,794;939,588
13240;912;SO47354;343;17;2;469,794;939,588
14125;771;SO47398;343;17;2;469,794;939,588
14547;2747;SO47419;343;17;2;469,794;939,588
14694;2918;SO47432;343;17;2;469,794;939,588
14971;1663;SO47444;343;17;2;469,794;939,588
15695;3000;SO47675;343;17;2;469,794;939,588
16817;1238;SO47966;343;17;2;469,794;939,588
17144;797;SO47988;343;17;2;469,794;939,588
17727;369;SO48016;343;17;2;469,794;939,588
17826;2132;SO48018;343;17;2;469,794;939,588
18103;3424;SO48035;343;17;2;469,794;939,588
18270;294;SO48048;343;17;2;469,794;939,588
18454;635;SO48054;343;17;2;469,794;939,588
19364;847;SO48307;343;17;2;469,794;939,588
19412;1827;SO48308;343;17;2;469,794;939,588
19866;825;SO48339;343;17;2;469,794;939,588
20022;2676;SO48349;343;17;2;469,794;939,588
20189;2784;SO48360;343;17;2;469,794;939,588
20224;116;SO48363;343;17;2;469,794;939,588
20353;496;SO48374;343;17;2;469,794;939,588
20536;1897;SO48385;343;17;2;469,794;939,588
20686;2019;SO48393;343;17;2;469,794;939,588
21293;803;SO48761;343;17;2;469,794;939,588
21300;1335;SO48762;343;17;2;469,794;939,588
21309;3266;SO48763;343;17;2;469,794;939,588
21520;3505;SO48772;343;17;2;469,794;939,588
21684;2464;SO48786;343;17;2;469,794;939,588
21932;3156;SO49057;343;17;2;469,794;939,588
21948;371;SO49058;343;17;2;469,794;939,588
22097;3145;SO49068;343;17;2;469,794;939,588
22314;2327;SO49090;343;17;2;469,794;939,588
22325;2115;SO49091;343;17;2;469,794;939,588
23077;891;SO49140;343;17;2;469,794;939,588
