SalesHeaderKey;SalesOrderNumber;OrderDate;DueDate;ShipDate;CustomerKey;RegionKey;DiscountAmount;TotalAmount;SalesAmount
130;SO46675;29/12/2011;10/01/2012;05/01/2012;41;4;149,70;5755,73;5606,03
72;SO47355;29/02/2012;12/03/2012;07/03/2012;24;4;3795,66;130185,68;126390,02
218;SO47372;29/02/2012;12/03/2012;07/03/2012;649;4;306,60;11476,41;11169,81
298;SO47692;30/03/2012;11/04/2012;06/04/2012;41;4;166,78;3604,13;3437,35
582;SO47994;30/04/2012;12/05/2012;07/05/2012;258;4;1703,38;47221,42;45518,04
410;SO48080;30/04/2012;12/05/2012;07/05/2012;403;4;1522,78;49789,16;48266,38
226;SO48314;30/05/2012;11/06/2012;06/06/2012;649;4;122,20;4707,86;4585,66
496;SO48374;30/05/2012;11/06/2012;06/06/2012;5;4;187,78;7921,75;7733,97
99;SO48769;30/06/2012;12/07/2012;07/07/2012;221;4;531,70;24016,51;23484,81
159;SO49139;31/07/2012;12/08/2012;07/08/2012;257;4;746,94;22820,84;22073,90
746;SO49141;31/07/2012;12/08/2012;07/08/2012;528;4;54,30;939,59;885,29
711;SO49526;28/08/2012;09/09/2012;04/09/2012;165;4;99,00;2348,97;2249,97
430;SO49538;28/08/2012;09/09/2012;04/09/2012;3;4;509,18;23383,13;22873,95
295;SO49887;28/09/2012;10/10/2012;05/10/2012;292;4;112,24;3502,56;3390,32
589;SO50214;28/10/2012;09/11/2012;04/11/2012;258;4;1508,94;50702,12;49193,18
65;SO50289;28/10/2012;09/11/2012;04/11/2012;436;4;3456,64;105310,51;101853,87
17;SO50738;28/11/2012;10/12/2012;05/12/2012;130;4;1050,18;43698,98;42648,80
243;SO50746;28/11/2012;10/12/2012;05/12/2012;5;4;202,02;7654,39;7452,37
289;SO46638;29/12/2011;10/01/2012;05/01/2012;203;4;1920,14;61865,36;59945,22
95;SO46960;29/01/2012;10/02/2012;05/02/2012;259;4;362,42;10176,98;9814,56
20;SO46965;29/01/2012;10/02/2012;05/02/2012;77;4;200,14;8594,25;8394,11
478;SO47436;29/02/2012;12/03/2012;07/03/2012;5;4;473,50;17147,14;16673,64
