ReturnKey;ReturnDate;OrderDate;SalesOrderNumber;CustomerKey;ProductKey;ReturnQuantity;UnitPrice;ReturnAmount
1;10/01/2011;29/12/2010;SO43665;146;348;2;2024,994;4049,988
2;15/02/2011;29/01/2011;SO43867;145;296;2;714,704;1429,409
3;07/04/2011;31/03/2011;SO44285;397;351;2;2024,994;4049,988
4;21/05/2011;01/05/2011;SO44540;469;212;2;20,187;40,373
5;16/05/2011;01/05/2011;SO44570;218;328;2;419,459;838,918
6;12/06/2011;31/05/2011;SO44792;20;349;2;2024,994;4049,988
7;14/07/2011;01/07/2011;SO45043;146;350;2;2024,994;4049,988
8;17/08/2011;01/08/2011;SO45344;218;317;2;874,794;1749,588
9;16/09/2011;29/08/2011;SO45521;272;344;2;2039,994;4079,988
10;08/11/2011;29/10/2011;SO46025;271;232;2;28,840;57,681
11;07/11/2011;29/10/2011;SO46042;1;264;2;183,938;367,876
12;06/11/2011;29/10/2011;SO46053;145;232;2;28,840;57,681
13;12/11/2011;29/10/2011;SO46060;73;345;2;2039,994;4079,988
14;18/11/2011;29/10/2011;SO46077;469;347;2;2039,994;4079,988
15;16/11/2011;29/10/2011;SO46100;433;314;2;2146,962;4293,924
16;13/12/2011;29/11/2011;SO46327;272;292;2;818,700;1637,400
17;15/12/2011;29/11/2011;SO46379;20;346;2;849,998;1699,995
18;18/01/2012;29/12/2011;SO46609;577;242;2;780,818;1561,636
19;12/01/2012;29/12/2011;SO46611;146;230;2;28,840;57,681
20;10/02/2012;29/01/2012;SO46957;236;352;2;1242,852;2485,704
21;09/02/2012;29/01/2012;SO46974;127;420;2;141,615;283,230
22;19/02/2012;29/01/2012;SO46976;2;356;2;1242,852;2485,704
23;12/02/2012;29/01/2012;SO47033;343;461;2;53,994;107,988
24;10/02/2012;29/01/2012;SO47066;218;368;2;1466,010;2932,020
25;09/03/2012;29/02/2012;SO47403;254;426;2;209,256;418,512
26;15/03/2012;29/02/2012;SO47443;20;420;2;141,615;283,230
27;09/05/2012;30/04/2012;SO48057;343;273;2;202,332;404,664
28;18/06/2012;30/05/2012;SO48383;542;297;2;736,146;1472,291
29;20/08/2012;31/07/2012;SO49053;236;224;2;5,187;10,373
30;16/09/2012;28/08/2012;SO49449;272;470;2;22,794;45,588
31;14/09/2012;28/08/2012;SO49464;254;462;2;14,129;28,258
32;13/09/2012;28/08/2012;SO49464;254;399;2;33,775;67,549
33;07/11/2012;28/10/2012;SO50297;343;407;2;65,602;131,204
34;12/11/2012;28/10/2012;SO50314;433;387;2;600,263;1200,525
35;08/11/2012;28/10/2012;SO50321;218;375;2;1308,938;2617,875
36;10/12/2012;28/11/2012;SO50758;235;233;2;28,840;57,681
37;15/01/2013;28/12/2012;SO51123;290;440;2;858,900;1717,800
38;08/01/2013;28/12/2012;SO51146;505;502;2;200,052;400,104
39;17/03/2013;28/02/2013;SO53518;254;598;2;323,994;647,988
40;19/03/2013;28/02/2013;SO53576;542;400;2;37,152;74,304
41;13/03/2013;28/02/2013;SO53613;109;353;2;1391,994;2783,988
42;08/04/2013;30/03/2013;SO55241;146;599;2;323,994;647,988
43;07/04/2013;30/03/2013;SO55291;505;506;2;200,052;400,104
44;09/05/2013;30/04/2013;SO57136;433;380;2;1466,010;2932,020
45;14/06/2013;30/05/2013;SO59021;542;588;2;461,694;923,388
46;16/06/2013;30/05/2013;SO59065;235;225;2;5,394;10,788
47;07/07/2013;30/06/2013;SO61195;290;488;2;32,394;64,788
48;13/07/2013;30/06/2013;SO61267;505;573;2;1430,442;2860,884
49;20/08/2013;31/07/2013;SO63133;605;562;2;1430,442;2860,884
50;16/08/2013;31/07/2013;SO63148;361;603;2;72,894;145,788
51;12/08/2013;31/07/2013;SO63156;199;572;2;445,410;890,820
52;20/08/2013;31/07/2013;SO63249;343;382;2;672,294;1344,588
